ID,Text_Number,Name,Description,Contributor,Citation,Examples_Count,Media_Reference
A1,1,Migrating / Кочёвка,"In this brief excerpt Ija Krivoshapkina tells about her earliest memories of life in a reindeer herd,1 namely how she migrated with her parents as a three-year old. In summer or early autumn she sat on her riding reindeer (uːʨak; Figure 1.1; see Figure 3.22 in Section 3.3 for a photo of an infant’s saddle ɵːɲeː) in a caravan led by her father, and in late autumn and winter she and her younger brother sat in a covered sled (kibitka; Figure 1.2) driven by her mother. At this time their dog flushed out a snow sheep (Ovis nivicola, also known as Siberian bighorn sheep) which her father was able to bag.",Ija Krivoshapkina,"Ija Krivoshapkina. 2026. Migrating / Кочёвка. In Pakendorf, Brigitte (ed.), I always migrated by reindeer Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",21,Media1eaf	Media1wav
A2,2,Migrating with an infant / Кочёвка с младенцем,"In this excerpt, Ekaterina Krivoshapkina tells how she took her one-year-old son to the reindeer herd, where he spent his early years. She explains how the Evens migrate by reindeer caravan in summer (Figure 2.1), with a special rein- deer, the bebeːruk, carrying the baby’s cradle (a cradle is shown in Figure 3.23 in Section 3.3), whereas in winter the infant is transported by kibitka (the covered sled illustrated in Figure 1.2 above). This text contains several evaluatives derived from descriptive verbs, amongst others the only spontaneously produced form of the ‘tenderness’ marker - ɟaːgagaj (in line 36).",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Migrating with an infant / Кочёвка с младенцем. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",42,Media2eaf	Media2wav
A3,3,Childhood in the herd / Детство в стаде,"Ekaterina Krivoshapkina remembers her childhood in the reindeer herd. Every year her mother, who worked as a teacher in the Sebjan-Küöl school, would take her and her brother to spend the summer with their father who was a brigade leader. They would go together with a big group of cousins, and the children joined in the reindeer herding: the older children would join the night shifts (iaβʨi- ‘herd at night’), and the younger children would help with the daytime herding (kɵsʨi- ‘herd by day’). In this way they learned how to find suitable pasture for the reindeer, how to treat them if they fell ill, and how to milk reindeer cows. In the text “Reindeer milk products” (Text 5) she explains what they do with the reindeer milk.",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Childhood in the herd / Детство в стаде. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",43,Media2eaf	Media2wav
A4,4,Dogs / Собаки,"In this very short fragment Ekaterina Krivoshapkina explains about the different dogs they have: dogs that help with herding and dogs that help with hunting. Note that it is rather unusual for Evens to have herding dogs (Alekseeva 2020: 47), a phenomenon that is generally considered characteristic of reindeer herding peoples west of the Yenisey (Tan-Bogoraz 1932: 37, Vasilevič & Levin 1951: 75).",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Dogs / Собаки. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",8,Media2eaf	Media2wav
A5,5,Reindeer milk products / Блюда из оленьего молока,"In the original recording, this excerpt is the continuation of Ekaterina Krivoshap- kina’s childhood memories: after explaining how she learned to milk reindeer (Text 3, lines 35-42), she here goes on to say that she nowadays milks many rein- deer every day in summer. She then explains about the different products they make from reindeer milk. Whipped milk is called kɵrʨek – after adding berries it is similar to yoghurt. The milk is also gradually heated and eaten warm, or spread on bread after having cooled off. Another product that is occasionally made is keːbel, a kind of cheese; for this, rennet is needed that is taken from a snow sheep lamb’s stomach. Reindeer milk has a much higher fat content than cow’s milk, with 11-15% at mid-lactation and reaching 20% in late lactation, with 12-13% protein content. Furthermore, the fat globules form a more stable emulsion, explaining why it gets thick enough to spread when boiled. The change in chemical composition over the lactation period has an influence on the use made of the milk: “Normally the milk from the first part of lactation was consumed fresh; the second part was mainly used for cheese production...” (Holand et al. 2006: 358).",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Reindeer milk products / Блюда из оленьего молока. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",28,Media2eaf	Media2wav
A6,6,Taming reindeer / Обучение оленей,"In this fragment Ekaterina Krivoshapkina explains how her father and her brother tame the working reindeer so that they come when they are called. Reindeer are relatively easy to tame early in their life, becoming increasingly stubborn as the months go by (Holand et al. 2006: 358). So when the calves are just a few months old (called eːnken) they are tied to trees and given some salt. In this way, they are used to receiving salt, which they crave, from their handlers. The cows, too, are trained to accept being tied up so that they can be milked. Calves of tame cows are tamer than the calves of the delmiʨe, the semi-domesticated bulk of the herd. Taming reindeer to such a degree takes a lot of time and dedication,1 which explains Ekaterina Krivoshapkina’s pride in her family’s achievement.",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Taming reindeer / Обучение оленей. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",37,Media2eaf	Media2wav
A7,7,Hide preparation / Обработка шкур,"Ekaterina Krivoshapkina explains how they prepare animal hide in the herd, by scraping it with a koːʨaj (see Figure 3.26 in Section 3.3), soaking it with hilte (rotten larch, Figure 7.1), and softening it (moŋŋa-) with a kerde (see Figure 3.26 in Section 3.3). However, in town she lacks the hilte and has to use brewed tea instead. She also doesn’t have a kerde, but is hoping that her mother will send her one from the village. She will then be able to prepare the hide from reindeer legs (ohol), so that she can have fur boots (unta) sewn from them. Such fur boots are an absolute necessity in the extremely cold Yakutian winters (Figure 7.2).",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Hide preparation / Обработка шкур. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",15,Media2eaf	Media2wav
A8,8,Eating velvet antlers / Панты,"In this extract Ekaterina Krivoshapkina explains about some of the food products traditionally eaten by Evens. A delicacy is roasted velvet antlers (nimeːt). The young antlers of reindeer are soft and are sawed off and eaten after burning off the velvet in the fire. Even later the endpoints of the antlers are soft and can be eaten, although the larger part of the antler body grows hard and bony. The velvet antlers are cut in dry sunny weather and chewed and sucked with relish by children. The beneficial properties of velvet antlers are known to Russian (and Southern Korean, Turaev 2017: 197) companies who produce tonics from them. Another source of vitamins in the past was the root of the Siberian lily (nubaː) which was dug up and eaten raw or cooked.",Ekaterina Krivoshapkina,"Ekaterina Krivoshapkina. Eating velvet antlers / Панты. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",32,Media2eaf	Media2wav
A9,9,Unexpected visits / Неожиданные гости,"For details about the recording and the speaker please see the introduction to Text 1. The complete recording with full transcription, translation, and glossing can be accessed at: https://hdl.handle.net/1839/7a0cc8f1- 03e4- 4f95- b129- 2937691791e4.",Ija Krivoshapkina,"Ija Krivoshapkina. Unexpected visits / Неожиданные гости. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",60,Media1eaf	Media1wav
A10,10,Bear / Медведь,"This story captures very vividly what could happen on the long trek from the herd to the village when the children had to go to school. A bear came upon the overnight camp where the narrator, who was then ten years old, and her seven- year-old sister were on their own, while their father had gone to try and shoot a snow sheep. He came running and luckily managed to scare the bear away by setting fire to reindeer moss, but not before a very dramatic confrontation between the father and the bear across the campfire. This narrative contains numerous examples of different augmentatives, no- tably the only examples in the Lamunkhin Even corpus of the finite Verbal Aug- mentative -baha as well as several instances of the Augmentative converb -jaːɟi  (see lines 52 and 69 for examples of both forms). It also contains several exam- ples of the Assertive mood borrowed from Sakha (Yakut) - see lines (47), (50), and (66).",Marta Krivoshapkina,"Marta Krivoshapkina. Bear / Медведь. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",76,Media10eaf	Media10wav
A11,11,Snow sheep migration / Уямканы,"This tells of another encounter with wildlife on the way back from the reindeer herd for the start of the schoolyear. In this case, Ija Krivoshapkina was travelling to the village with her father and younger brother in the company of a fellow reindeer herder who was taking his grandchildren to school. Their path was crossed by a herd of snow sheep (also known as Siberian bighorn sheep, Ovis nivicola) such as she’d never seen before or since. They spent an extra night along the way to shoot several of them, bagging so much meat that they had to bury some of it along the way, going back to fetch it later. During the translation sessions Ija Krivoshapkina elaborated on a few points; these explanations are added to footnotes (1, 3, 6, 8, 9).",Ija Krivoshapkina,"Ija Krivoshapkina. Snow sheep migration / Уямканы. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",25,Media1eaf	Media1wav
A12,12,Stuck in the herd / Застряли в стаде,"This narrative tells of the end of a summer that Raisa Alekseeva spent in the reindeer herd with her children and husband and of their troubles with returning to the village. After first waiting for a helicopter, they were told that this had been cancelled and that they should make their way towards the village by themselves – only to hear while they were on the way that the helicopter had come to the herd after all, but that they had missed it. The experience was made more arduous by the fact that a bear had eaten most of their food stores; in addition, the weather turned cold and it started to snow, but they only had light tents to sleep in. It was only after returning to the herd and waiting for several days that they were finally picked up and flown to the village, where the school year had already started. The anecdote thus sheds light on the way that traditional elements of the nomadic lifestyle (migrating by reindeer and horse, sleeping in tents, cooking over a fire) combine with modernity introduced during Soviet times, namely the helicopter that flies families from outlying reindeer herding territories to the village. The text contains several examples of the Necessitive borrowed from Sakha (Yakut); see lines (4), (6), and (18).",Raisa Alekseeva,"Raisa Alekseeva. Stuck in the herd / Застряли в стаде. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",77,Media12eaf	Media12wav
A13,13,Aufeis / Наледь," text provides a very vivid account of what can be involved when travel- ling in the traditional way by reindeer sled. Zoja Stepanova tells about a trip in winter from the village to the reindeer herd to visit her father. She was travelling with her younger brother and her sister-in-law when suddenly her brother’s sled broke through aufeis (a thin layer of ice that forms when water flows over frozen rivers), landing her brother in water. Fortunately they had only just passed a tent along the way that was set up for travellers and were able to make their way back there, where they were able to dry their wet clothes at the fire. The rivers leading to Sebjan-Küöl are notorious for their stretches of aufeis, making them hazardous to travel on (Figures 13.1 and 13.2). Truckers who make the journey tend to travel in groups, so that they can pull each other’s trucks out of the icy water when they break through the thin sheet of top ice.",Zoja Stepanova,"Zoja Stepanova. Aufeis / Наледь. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",77,Media13eaf	Media13wav
A14,14,Hunting tradition / Как стать хорошим охотником,"This short text contains a little anecdote about how the speaker’s younger brother had twice as a child tried to observe the custom of sharing his first hunting spoils with a respected older visitor. Unfortunately, this visitor got star- tled at the touch of the dead animals (first a bird and later a tarbagan marmot) and dropped them both times – much to the dismay of the little boy, who was worried that her behaviour would jinx him (majukan-). The text also contains interesting information about the traditional Even system of avoiding respected people’s names and teknonymy.",Zoja Stepanova,"Zoja Stepanova. Hunting tradition / Как стать хорошим охотником. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",25,Media14eaf	Media14wav
A15,15,Good fortune / Счастливая прогулка,"In this excerpt, Ija Krivoshapkina tells how she and her family went out for a walk in a place called Kuːnikit (see Text 9 for another episode that took place there) during her father’s day off and unexpectedly came upon two snow sheep. Her father was able to shoot both of them, providing the children with such rare delicacies as the eyes and the raw fat from the back of the head. They took the intestines and liver back with them to camp that day and feasted upon their return, and went back later to fetch the meat. This episode took place in the early 1990s, after the collapse of the Soviet Union, when products and especially meat were scarce. Obtaining so much good meat at once was indeed a stroke of extremely good luck.",Ija Krivoshapkina,"Ija Krivoshapkina. Good fortune / Счастливая прогулка. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",34,Media1eaf	Media1wav
B1,16,A life with reindeer / Жить с оленями,"Evdokija Adukanova tells how she left to get married when she was 16 or 17 years old. She first had to travel by dog sled from her parents’ home in Laučan to the village called Tvajan (Figure 1), where she waited for the reindeer herd that she and her future husband were going to join to come by on their migration route. She then spent many years in a reindeer herd, working first as a reindeer herder and later as a yurt worker, always travelling by reindeer. When she wasn’t looking after the reindeer or cooking pots of food for the herders, she would prepare hides and sew traditional Even leather and fur clothes.",Evdokija Adukanova,"Evdokija Adukanova. A life with reindeer / Жить с оленями. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",60,Media16eaf	Media16wav	Media16mpg
B2,17,Childhood in a reindeer herd / Детство в табуне,"Pelageja Banakanova tells about her childhood and adolescence, which she spent in a reindeer herd together with her parents. Since there were too few herders for the number of reindeer, she started to work from age 12. She helped her father herd by day, learning everything about reindeer, but she also helped her mother prepare hides and sew. Even though they didn’t have much to eat, and even though they migrated all the time, she considers that life in the herd was very good, and would like to go back if only she were younger.",Pelageja Banakanova,"Pelageja Banakanova. Childhood in a reindeer herd / Детство в табуне. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",48,Media17eaf	Media17wav
B3,18,Herding reindeer / Работа оленевода,"Gennadij Solodikov provides a reindeer herder’s perspective on reindeer herding in Kamchatka. They get up very early and accompany the herd on foot, drinking tea while there. If all is quiet they might even try to shoot some ducks. The herd is driven back to the camp at lunchtime, where the reindeer circle continuously (Figure 3.1), while the herders eat lunch and drink tea, before taking the herd back out to graze (Figure 3.2). Lame and ill reindeer are taken out of the herd and treated at the camp, while less severely affected animals are treated in the herd.",Gennadij Solodikov,"Gennadij Solodikov. Herding reindeer / Работа оленевода. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",44,Media18eaf	Media18wav
B4,19,In the reindeer herd / Работа чумработницы,"With this text Valentina Axmetova provides a yurt worker’s perspective of life in a Kamchatkan reindeer herd. In the winter the herd can be in a large pasture for several months at a time, and so the herders can construct a large and comfortable yurt. In this yurt the yurt worker cooks meat and various dishes introduced by Russians like borsht, plov (an Uzbek-style rice dish), or pelmeni (a type of ravioli). She also bakes bread on the stove (Figure 4.1) – and since she uses her bumpy pots as baking pans the bread comes out very pretty, with patterns from the bumps. In summer they have to move every few days, because the grass gets trampled by the reindeer hooves. Everything is packed the evening before, and Valentina Axmetova cooks a pot of meat (Figure 4.2 and 4.3). After breakfast the last dishes are packed, the yurt is taken down, the horses are saddled, and they move on (Figure 4.4). Upon arriving at the new camp the fire is lit and the yurt is put up again (Figure 4.5). They migrate as early as possible to avoid the heat of day, when horse flies and mosquitoes irritate the reindeer. At the end, Valentina Axmetova tells how she once secretly collected enough reindeer hooves to make meat jelly, providing the herders with a pleasant surprise for breakfast the next day.",Valentina Axmetova,"Valentina Axmetova. In the reindeer herd / Работа чумработницы. in Pakendorf, Brigitte (ed.), I always migrated by reindeer: Lamunkhin and Bystraja Even narratives about their traditional way of life. Berlin: Language Science Press.",71,Media19eaf	Media19wav
