ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
even1260a-A1-1,"kuŋarapi ɟugulin ukʨendeku gɵ, tarak intereːhinej biʨeːɟin, gɵːli?",kuŋa-rap-i	ɟugu-li-n	ukʨen-de-ku	gɵ	tarak	intereːhinej	bi-ʨeːɟi-n	gɵːli,child-ADJR(TIME)-PRFL.SG	about-PROL-PX.3SG	tell-HORT-1SG	DP	DIST	interesting.R	be-PRES-3SG	TAG,"Well, let me tell you about my childhood, that will probably be interesting, won't it?",A1,1,even1260,even1260a,WORD_ALIGNED,"{""ADJR"": ""Adjectivizer"", ""PRFL"": ""Reflexive possessive"", ""SG"": ""Singular"", ""PROL"": ""Prolative"", ""PX"": ""Possessive suffix"", ""HORT"": ""Hortative"", ""DP"": ""Discourse particle"", ""DIST"": ""Distal demonstrative"", ""PRES"": ""Presumptive"", ""TAG"": ""Tag question""}"
even1260a-A1-2,"tak, oːn gɵːnɟim?",tak	oːn	gɵːn-ɟi-m,so.R	how	say-FUT-1SG,"Well, so what should I say?",A1,2,even1260,even1260a,WORD_ALIGNED,"{""FUT"": ""Future"", ""SG"": ""Singular""}"
even1260a-A1-3,"kuŋarapu nadi stadala ieltenin, ammu ɟaːldulan, upeːβ, abagaβ, ammu ɵmettu baldadaŋalni tala bihitnen.",kuŋa-rap-u	nad-i	stado-la	ielte-ni-n	amm-u	ɟaːl-dula-n	upeː-β	abaga-β	amm-u	ɵmettu	balda-daŋa-l-ni	ta-la	bi-hi-tnen,child-ADJR(TIME)-PX.1SG	seven-ORD	herd.R-LOC	pass-PST-3SG	father-PX.1SG	family-LOC-PX.3SG	grandmother-PX.1SG	grandfather-PX.1SG	father-PX.1SG	together	be.born-REM.PTCP-PL-PX.3SG	DIST-LOC	be-PST-3PL,"My childhood passed in the seventh reindeer brigade, with my father's family, my grandmother, my grandfather, my father's siblings were there.",A1,3,even1260,even1260a,WORD_ALIGNED,"{""ADJR"": ""Adjectivizer"", ""PX"": ""Possessive suffix"", ""SG"": ""Singular"", ""ORD"": ""Ordinal"", ""LOC"": ""Locative"", ""PST"": ""Past"", ""REM"": ""Remote"", ""PTCP"": ""Participle"", ""PL"": ""Plural"", ""DIST"": ""Distal demonstrative""}"
even1260a-A1-4,"meːni ilan anŋanidukuj ɟoːŋʨiram, ɲulgeβeʨeddij.",meːni	ilan	anŋani-duku-j	ɟoː-ŋʨi-ra-m	ɲulge-βeʨe-d-di-j,REFL.SG.ACC	three	year-ABL-PRFL.SG	remember-DUR-NFUT-1SG	migrate-ITER-PROG-PRS.PTCP-PRFL.SG,"I remember myself from three years old, how I migrated.",A1,4,even1260,even1260a,WORD_ALIGNED,"{""REFL"": ""Reflexive pronoun"", ""SG"": ""Singular"", ""ACC"": ""Accusative"", ""ABL"": ""Ablative"", ""PRFL"": ""Reflexive possessive"", ""DUR"": ""Durative"", ""NFUT"": ""Non-future"", ""ITER"": ""Iterative (aspect)"", ""PROG"": ""Progressive"", ""PRS"": ""Present"", ""PTCP"": ""Participle""}"
even1260a-A1-5,"uːʨaki tiːkde gərbəβen ɟoːŋʨiram, koːʨaj gərbə bihin.",uːʨak-i	tiːk=de	gərbə-βe-n	ɟoː-ŋʨi-ra-m	koːʨaj	gərbə	bi-hi-n,riding.reindeer-PRFL.SG	now=ADD	name-ACC-PX.3SG	remember-DUR-NFUT-1SG	hide.scraper	name	be-PST-3SG,newpag,A1,5,even1260,even1260a,WORD_ALIGNED,"{""PRFL"": ""Reflexive possessive"", ""SG"": ""Singular"", ""ADD"": ""Additive"", ""ACC"": ""Accusative"", ""PX"": ""Possessive suffix"", ""DUR"": ""Durative"", ""NFUT"": ""Non-future"", ""PST"": ""Past""}"
even1260a-A1-6,"ejmu gɵːniɟin, kokʨinni kaptakumaja, egɟemeje biʨe, teːmi taʨin gərbəʨel, uhu.",ejm-u	gɵː-ni-ɟi-n	kokʨin-ni	kapta-ku-maja	egɟe-meje	bi-ʨe	teːmi	taʨin	gərbə-ʨe-l	uhu,mother-PX.1SG	say-PRS.PTCP-INS-3SG	hoof-PX.3SG	become.flat-ADJR(DESCR)-AUG.INDEF	big-AUG.INDEF	be-NAR.PST	therefore	DIST.QUAL	give.name-NAR.PST-PL	HSY.Y,"As my mother says, it had such big flat hooves, that is why they called it like that.",A1,6,even1260,even1260a,WORD_ALIGNED,"{""PX"": ""Possessive suffix"", ""SG"": ""Singular"", ""PRS"": ""Present"", ""PTCP"": ""Participle"", ""INS"": ""Instrumental"", ""ADJR"": ""Adjectivizer"", ""DESCR"": ""Descriptive"", ""AUG"": ""Augmentative"", ""INDEF"": ""Indefinite"", ""NAR"": ""Narrative"", ""PST"": ""Past"", ""DIST"": ""Distal demonstrative"", ""QUAL"": ""Qualitative"", ""PL"": ""Plural"", ""HSY"": ""Hearsay""}"
even1260a-A1-7,nɵːβu uːʨakan ŋiː gərbə bihin?,nɵː-βu	uːʨaka-n	ŋiː	gərbə	bi-hi-n,younger.sib-PX.1SG	riding.reindeer-PX.3SG	who	name	be-PST-3SG,What was the name of my brother's riding reindeer?,A1,7,even1260,even1260a,WORD_ALIGNED,"{""PX"": ""Possessive suffix"", ""SG"": ""Singular"", ""PST"": ""Past""}"
even1260a-A1-8,"ʨokoː gərbə bihin, gaːdan iahalan aʨʨa bihin.",ʨokoː	gərbə	bi-hi-n	gaːda-n	iahala-n	aʨʨa	bi-hi-n,one-eyed	name	be-PST-3SG	half-PX.3SG	eyes-PX.3SG	NEG.EXIST	be-PST-3SG,"He was called Choko (One-eyed), he had only one eye.' (lit. `half of his eyes were gone'",A1,8,even1260,even1260a,WORD_ALIGNED,"{""PST"": ""Past"", ""SG"": ""Singular"", ""PX"": ""Possessive suffix"", ""NEG"": ""Negative; by itself: Negative auxiliary"", ""EXIST"": ""Existential""}"
even1260a-A1-9,uːʨaklaj baduddij ɟoːŋʨiram.,uːʨak-la-j	badu-d-di-j	ɟoː-ŋʨi-ra-m,riding.reindeer-LOC-PRFL.SG	ride-PROG-PRS.PTCP-PRFL.SG	remember-DUR-NFUT-1SG,I remember riding on my riding reindeer.,A1,9,even1260,even1260a,WORD_ALIGNED,"{""LOC"": ""Locative"", ""PRFL"": ""Reflexive possessive"", ""SG"": ""Singular"", ""PROG"": ""Progressive"", ""PRS"": ""Present"", ""PTCP"": ""Participle"", ""DUR"": ""Durative"", ""NFUT"": ""Non-future""}"
even1260a-A1-10,"ɟuldeleβ tar noːβu uːʨaklaj baduddi biβren, mejkinenteken təgəʨəddi biβren, dilan hoβnaddi biβren, tar uːʨaklaj təgətniken.",ɟul-de-le-β	tar	noː-βu	uːʨak-la-j	badu-d-di	bi-βre-n	mejkine-nteken	təgə-ʨə-d-di	bi-βre-n	dila-n	hoβna-d-di	bi-βre-n	tar	uːʨak-la-j	təgə-t-niken,front-SIDE-LOC-PX.1SG	DIST	younger.sib-PX.1SG	riding.reindeer-LOC-PRFL.SG	ride-PROG-PRS.PTCP	AUX-HAB-3SG	sway-SS.MULT	sit.down-TAM2-PROG-PRS.PTCP	AUX-HAB-3SG	head-PX.3SG	move-PROG-PRS.PTCP	AUX-HAB-3SG	DIST	riding.reindeer-LOC-PRFL.SG	sit.down-TAM2-SS.SIM1,"In front of me my younger brother was riding his reindeer, he was sitting and swaying, his head was moving, sitting on that riding reindeer of his.",A1,10,even1260,even1260a,WORD_ALIGNED,"{""LOC"": ""Locative"", ""PX"": ""Possessive suffix"", ""SG"": ""Singular"", ""DIST"": ""Distal demonstrative"", ""PRFL"": ""Reflexive possessive"", ""PROG"": ""Progressive"", ""PRS"": ""Present"", ""PTCP"": ""Participle"", ""AUX"": ""Auxiliary"", ""HAB"": ""Habitual"", ""SS"": ""Same-subject converb"", ""MULT"": ""Multiplicative"", ""TAM"": ""Polysemous TAM marker"", ""SIM"": ""Simultaneous (converb)""}"
